"word","totalCount","readFreq","deleteFreq"," followUpFreq","ignoreFreq"
"*Company",2,0.5,0.5,0.5,0.5
"and",2,0.5,0.510540184453228,0.5,0.503408445370195
"BCI",3,0.5,0.5,0.5,0.5
"Campus",2,0.5,0.5,0.5,0.5
"centres",2,0.5,0.5,0.5,0.5
"create",2,0.5,0.5,0.5,0.5
"entrepreneurship,",2,0.5,0.5,0.5,0.5
"EVENTS:",2,0.5,0.5,0.5,0.5
"Fall",2,0.5,0.5,0.5,0.5
"Fieldglass",1,0.5,0.5,0.5,0.5
"in",2,0.5,0.513175230566535,0.5,0.503029729217951
"India",2,0.5,0.5,0.5,0.5
"Info",2,0.5,0.5,0.5,0.5
"jobs",3,0.5,0.5,0.5,0.5
"login",1,0.5,0.507905138339921,0.5,0.5
"matched",3,0.5,0.5,0.5,0.5
"new",3,0.5,0.501317523056653,0.5,0.500189358076122
"of",2,0.535294117647059,0.514492753623188,0.5,0.505491384207536
"Recruitment",2,0.5,0.5,0.5,0.5
"research",2,0.5,0.5,0.5,0.500189358076122
"Sessions*",2,0.5,0.5,0.5,0.5
"T",2,0.5,0.5,0.5,0.5
"Tata",2,0.5,0.5,0.5,0.5
"Trusts",2,0.5,0.5,0.5,0.5
"U",2,0.5,0.5,0.5,0.5
"urban",2,0.5,0.5,0.5,0.504165877674683
"with",3,0.5,0.507905138339921,0.5,0.505302026131415
"You",3,0.5,0.5,0.5,0.5
